1.000000000000000000e+00,1.652525851483553696e+10,4.491580502403929587e-01
9.526315789473683848e-01,1.647641481229445648e+10,4.507861740292142816e-01
9.052631578947368807e-01,1.625071216540936089e+10,4.582636511443202165e-01
8.578947368421052655e-01,1.617695401003493690e+10,4.607437428221594633e-01
8.105263157894736503e-01,1.590080566528030586e+10,4.699498297486049969e-01
7.631578947368420351e-01,1.600223139948093987e+10,4.665611334327379733e-01
7.157894736842105310e-01,1.577336482347119141e+10,4.740423482463749782e-01
6.684210526315789158e-01,1.549493935067164040e+10,4.830660778293108804e-01
6.210526315789473006e-01,1.532786415205412102e+10,4.884286818299813371e-01
5.736842105263157965e-01,1.522019912523456573e+10,4.915191024982115686e-01
5.263157894736841813e-01,1.511484171638622475e+10,4.949135252935190632e-01
4.789473684210525661e-01,1.494598346883750916e+10,4.987217779867670342e-01
4.315789473684210620e-01,1.488963741446144295e+10,4.997586962726184301e-01
3.842105263157894468e-01,1.487288090517123985e+10,4.998645258638149680e-01
3.368421052631578316e-01,1.481656009480282784e+10,4.999999999999997224e-01
2.894736842105263275e-01,1.478106442786027527e+10,4.999999999999998335e-01
2.421052631578947123e-01,1.473684621373546600e+10,4.999999999999999445e-01
1.947368421052630971e-01,1.472031491208835983e+10,4.999999999999999445e-01
1.473684210526315930e-01,1.467255496385631752e+10,4.999999999999999445e-01
1.000000000000000056e-01,1.468597719022792244e+10,4.999999999999999445e-01
