1.000000000000000000e+11,5.903665380626796722e+10,4.096334627107935944e-01
9.526315789473684692e+10,5.831191492567191315e+10,4.025237970868927873e-01
9.052631578947367859e+10,5.601696068717247009e+10,4.110690684652877347e-01
8.578947368421052551e+10,5.312564767309412384e+10,4.259793724575605678e-01
8.105263157894737244e+10,5.179295224321406555e+10,4.238986601118656661e-01
7.631578947368420410e+10,5.272733340447016907e+10,3.953046719214136084e-01
7.157894736842105103e+10,4.954191308249411774e+10,4.121927798765307460e-01
6.684210526315789795e+10,4.600093977452923584e+10,4.335244704125451598e-01
6.210526315789473724e+10,4.617802536573180389e+10,4.103327565932069487e-01
5.736842105263157654e+10,4.373531529802899170e+10,4.168699676561276601e-01
5.263157894736842346e+10,3.931658686639274597e+10,4.480056253310946701e-01
4.789473684210526276e+10,4.022840019267010498e+10,4.087450645154868667e-01
4.315789473684210205e+10,3.694170797033675385e+10,4.230809594991788991e-01
3.842105263157894897e+10,3.464414481948036194e+10,4.226797049730454114e-01
3.368421052631578827e+10,3.386632976793621063e+10,3.952471999882066767e-01
2.894736842105262756e+10,3.097278681151719284e+10,3.976803380236615948e-01
2.421052631578947449e+10,2.756755194129967117e+10,4.020643581226718277e-01
1.947368421052632141e+10,2.372123357233433151e+10,4.069983337614573315e-01
1.473684210526315308e+10,1.962472002294063187e+10,4.126035378229092609e-01
1.000000000000000000e+10,1.460256334182004929e+10,4.091880642291955139e-01
