1.000000000000000000e+00,1.380664927707010193e+11,1.683889893624397659e+10,3.415462473162719226e-01,7.811360819741886008e-02
8.877197088985865348e-01,1.247798082168301697e+11,1.293443121307444763e+10,4.045069872130386268e-01,5.936774248480879146e-02
7.880462815669911913e-01,1.219328520626361847e+11,1.261032591950413132e+10,4.181877071135430279e-01,5.830584916088287634e-02
6.995642156712629234e-01,1.310588773602847595e+11,1.072037736058720589e+10,3.758449324838835648e-01,5.088736057713175859e-02
6.210169418915615358e-01,1.231121850307309113e+11,9.815949727070388794e+09,4.134409566825564264e-01,4.613110964756959864e-02
5.512889788770674038e-01,1.216099214873933563e+11,8.855407595699596405e+09,4.205026155569855928e-01,4.136117518174114993e-02
4.893900918477493422e-01,1.217741540944455566e+11,8.205855696873787880e+09,4.201230766121744620e-01,3.907550207265122338e-02
4.344412298729365962e-01,1.220152952767122040e+11,8.509677226600502968e+09,4.189747849371216470e-01,4.052227159975917842e-02
3.856620421163471923e-01,1.200861657210965271e+11,6.815158618626700401e+09,4.281272031920650423e-01,3.237653913949707640e-02
3.423597957607581455e-01,1.203597003199337921e+11,6.682761446990672112e+09,4.268560569584918807e-01,3.181688663741209094e-02
3.039195382313197302e-01,1.215670563809670410e+11,5.582605322736310005e+09,4.211092561846179194e-01,2.658383395520215117e-02
2.697953640072999759e-01,1.204592397027599182e+11,5.067011232258098602e+09,4.263845736226646865e-01,2.412862374081838762e-02
2.395026619987485339e-01,1.193399294602434845e+11,4.599675133003929138e+09,4.317146221250213745e-01,2.190321416672163374e-02
2.126112333899656259e-01,1.196816670728614807e+11,4.674174881119671822e+09,4.300872998620043353e-01,2.225797451781158856e-02
1.887391822135097152e-01,1.196072059415977020e+11,3.390269944715074539e+09,4.304418763262033987e-01,1.614414242550053780e-02
1.675474918923341161e-01,1.183941463633656006e+11,3.646047806646287441e+09,4.362183502891983089e-01,1.736213229230964411e-02
1.487352107293511416e-01,1.193751564469316864e+11,2.812731750355531216e+09,4.315468741094447003e-01,1.339396067731879122e-02
1.320351779716295304e-01,1.190996513448840027e+11,2.759484764415339947e+09,4.328588026486882567e-01,1.314040398840813501e-02
1.172102297533480220e-01,1.193095112244178162e+11,2.525299483526219845e+09,4.318594690466522890e-01,1.202523519709531273e-02
1.040498310365785550e-01,1.191653236606019745e+11,2.158646351682561874e+09,4.325460767119592154e-01,1.027926823089042943e-02
9.236708571873861184e-02,1.187064960402246399e+11,2.212549356352717876e+09,4.347309697131498396e-01,1.053594928657629326e-02
8.199608244604943141e-02,1.188334369824652863e+11,1.770789030421991825e+09,4.341264887656454685e-01,8.432328264447019189e-03
7.278953843983150540e-02,1.186213530940393524e+11,1.578675235483602524e+09,4.351364111242618238e-01,7.517500042258610550e-03
6.461670787466969323e-02,1.182997326428166504e+11,1.492198649733579636e+09,4.366679376721442907e-01,7.105707577449278667e-03
5.736152510448678382e-02,1.183194849191095734e+11,1.175654293707113266e+09,4.365738779229916267e-01,5.598353179417349390e-03
5.092095636773397160e-02,1.180812138931551819e+11,1.271448564311461210e+09,4.377085015593832895e-01,6.054516468080092285e-03
4.520353656360243111e-02,1.182593926542754822e+11,9.656011763014824390e+08,4.368600310892553074e-01,4.598099262141096613e-03
4.012807031942776381e-02,1.182839740894999542e+11,9.523110976132596731e+08,4.367429766598317498e-01,4.534813468370661217e-03
3.562247890262442568e-02,1.182280108376327209e+11,7.855829692261555195e+08,4.370094668662172777e-01,3.740868487166805652e-03
3.162277660168379134e-02,1.181333973304855957e+11,7.577588760158826113e+08,4.374600079053792001e-01,3.608373531655321986e-03
