1.000000000000000000e+00,1.344267086568662567e+11,1.766325159563223648e+10,3.581652363358405755e-01,8.100650868328511389e-02
8.858667904100826496e-01,1.213238379028034210e+11,1.414300073653134537e+10,4.185294799234663965e-01,6.218270082918499198e-02
7.847599703514612779e-01,1.236752471212585907e+11,1.342062079216209412e+10,4.099000378768072883e-01,6.207955535996593360e-02
6.951927961775605791e-01,1.285570359278197327e+11,1.276004929808913231e+10,3.876884816417571766e-01,6.050858177233226637e-02
6.158482110660263853e-01,1.237848209563007812e+11,9.057957564800535202e+09,4.103321247442188735e-01,4.266559300008027772e-02
5.455594781168519036e-01,1.255211780234799347e+11,9.427367643328830719e+09,4.021208738051657017e-01,4.453256166428081614e-02
4.832930238571753190e-01,1.216582268884485626e+11,9.486835262019296646e+09,4.203865840773122753e-01,4.464512163517850990e-02
4.281332398719394083e-01,1.217917139030619202e+11,8.570897613378938675e+09,4.200299953455154389e-01,4.079517680183685630e-02
3.792690190732249667e-01,1.210139787805835724e+11,7.298959106466136932e+09,4.236904721754043424e-01,3.463952348121218661e-02
3.359818286283782207e-01,1.215877478040394745e+11,6.536384045187862396e+09,4.209885569359769764e-01,3.106897937311244376e-02
2.976351441631318595e-01,1.210937017139167480e+11,6.043052027297209740e+09,4.233296778969800611e-01,2.868508730636040727e-02
2.636650898730358294e-01,1.204168114058688507e+11,5.572465285472215652e+09,4.265866130313734073e-01,2.653554778926494120e-02
2.335721469090122626e-01,1.203082170219241943e+11,4.607391667956258774e+09,4.271037283230296744e-01,2.193995945914809648e-02
2.069138081114790251e-01,1.201199292722517853e+11,4.015395625236112118e+09,4.280003364665683208e-01,1.912093097107203307e-02
1.832980710832436133e-01,1.204079415974455109e+11,3.713117244232246399e+09,4.266288494276523902e-01,1.768150991749075154e-02
1.623776739188721729e-01,1.187038790856704559e+11,3.188975359830141068e+09,4.347434321010325564e-01,1.518559714966752003e-02
1.438449888287662848e-01,1.200794767379090576e+11,3.131843687382899284e+09,4.281929675490047660e-01,1.491354082556439233e-02
1.274274985703134078e-01,1.187262044711150818e+11,2.824245737923223495e+09,4.346371207642475420e-01,1.344878940605595714e-02
1.128837891684689176e-01,1.188343760603452606e+11,2.389392499485398769e+09,4.341220171077733170e-01,1.137805905968894936e-02
1.000000000000000056e-01,1.186945593956269226e+11,2.073998137266452312e+09,4.347878108731862423e-01,9.876181520162476829e-03
