1.000000000000000000e+09,3.334670723663791656e+09,7.730458563128056526e+08,9.666532877560366499e-01,2.269541467038462823e-01,6.673221395256649256e+08
2.434782608695652008e+09,7.317804871049331665e+09,1.856305248923563242e+09,9.268219512804586335e-01,2.375889156260627133e-01,1.573145056385493994e+09
3.869565217391304493e+09,1.054775419776276398e+10,2.906779511473463535e+09,8.945224578269148630e-01,2.488097892870438366e-01,2.413695313740648270e+09
5.304347826086956978e+09,1.347023706622376633e+10,3.948003694027914047e+09,8.652976277940211958e-01,2.557042225439231098e-01,3.201467611017761707e+09
6.739130434782608986e+09,1.590521600462330055e+10,4.957900930250417709e+09,8.409478364516018711e-01,2.643114769988637591e-01,4.022160555166327953e+09
8.173913043478260994e+09,1.809746415863195419e+10,5.955320881928112984e+09,8.190253574906770639e-01,2.714235097111492023e-01,4.767499130109728813e+09
9.608695652173913956e+09,2.017551288905294418e+10,6.948822748339498520e+09,7.982448710680302151e-01,2.768193520094408000e-01,5.450786687826464653e+09
1.104347826086956596e+10,2.184832056315517426e+10,7.901826889640212059e+09,7.815167943684269147e-01,2.844802422766864458e-01,6.142541077110877037e+09
1.247826086956521797e+10,2.329959446751623917e+10,8.830115047514907837e+09,7.670040553247806647e-01,2.923601181434383189e-01,6.766852814036630630e+09
1.391304347826086998e+10,2.480022736838134384e+10,9.769589957038293839e+09,7.519977263160478875e-01,2.978107218379556498e-01,7.449798544978643417e+09
1.534782608695652199e+10,2.618482003885023499e+10,1.069610228295389366e+10,7.381517996111802704e-01,3.030868200910134536e-01,8.049218318931165695e+09
1.678260869565217400e+10,2.744925378801200867e+10,1.160701811634328461e+10,7.255074621192270090e-01,3.083901122390065863e-01,8.658496251367357254e+09
1.821739130434782791e+10,2.847147128124454498e+10,1.248032235934784508e+10,7.152852871863735196e-01,3.149226389863964415e-01,9.245143995604492188e+09
1.965217391304347992e+10,2.972611471150838470e+10,1.340080964546601486e+10,7.027388528827333003e-01,3.181003941479689234e-01,9.831542353976755142e+09
2.108695652173913193e+10,3.092191727909839630e+10,1.431495567957577324e+10,6.907808272051838561e-01,3.211464316925498053e-01,1.031806162134492493e+10
2.252173913043478394e+10,3.171866763175452805e+10,1.514937199784563637e+10,6.828133236766248393e-01,3.273444865857099151e-01,1.082117909105527496e+10
2.395652173913043594e+10,3.254224930768362045e+10,1.598652577232077026e+10,6.745775069142617708e-01,3.326858570592206576e-01,1.139929656600849152e+10
2.539130434782608795e+10,3.340918628925540543e+10,1.684000325005017662e+10,6.659081370955470813e-01,3.367806939265847732e-01,1.192471954178511238e+10
2.682608695652173996e+10,3.399557508873949051e+10,1.761697239362529755e+10,6.600442491040655613e-01,3.432895217987266268e-01,1.238457512437793159e+10
2.826086956521739197e+10,3.491571827905286407e+10,1.848798043197021866e+10,6.508428171957043595e-01,3.458099231847696631e-01,1.288579821940309143e+10
2.969565217391304398e+10,3.593841066258386993e+10,1.939518918669677353e+10,6.406158930906596938e-01,3.468677142443094552e-01,1.327147884223873901e+10
3.113043478260869598e+10,3.628061532062415314e+10,2.010600009740287399e+10,6.371938467483896362e-01,3.541368684072389028e-01,1.377326219346513367e+10
3.256521739130434799e+10,3.689271489979177094e+10,2.089342058822674179e+10,6.310728509509131445e-01,3.584129859728962808e-01,1.420350761817531204e+10
3.400000000000000000e+10,3.785679060983695221e+10,2.180090706503447723e+10,6.214320938322259735e-01,3.587968510717013393e-01,1.456979513742420769e+10
3.543478260869565582e+10,3.828084019792178345e+10,2.252780942517189026e+10,6.171915979363172822e-01,3.642458690357364137e-01,1.501278483169615936e+10
3.686956521739130402e+10,3.893947209495104218e+10,2.334220915477902222e+10,6.106052789475846510e-01,3.668976291212191487e-01,1.539837898319654655e+10
3.830434782608695984e+10,3.949473709967086029e+10,2.411791955834798431e+10,6.050526288813853348e-01,3.703607834566858825e-01,1.587176378647224426e+10
3.973913043478260803e+10,3.997279979112545013e+10,2.486865610907969666e+10,6.002720019582532540e-01,3.742023080596073026e-01,1.613479257353538704e+10
4.117391304347826385e+10,4.056906164159862518e+10,2.566238160575431061e+10,5.943093835011130643e-01,3.767320201876681596e-01,1.663036383208374596e+10
4.260869565217391205e+10,4.110533586890205383e+10,2.643244677398640060e+10,5.889466412070339940e-01,3.796466574114344406e-01,1.699931254807850456e+10
4.404347826086956787e+10,4.140943251433604431e+10,2.711161820316905212e+10,5.859056747838907730e-01,3.844351247529603222e-01,1.734081950048670959e+10
4.547826086956521606e+10,4.204793192850014496e+10,2.793405433836444855e+10,5.795206806849030334e-01,3.857712717382058565e-01,1.777354569548085785e+10
